Rk,Nation,# Players,Min,List
1,fr France,241,"186,647","EugÃ©nie Le Sommer, GaÃ«tane Thiney, Marie-Antoinette Katoto, Ouleymata Sarr, Camille Abily, Kadidiatou Diani, Viviane Asseyi, Amel Majri, Flavie LemaÃ®tre, Marie-Laure Delie ..."
2,ca Canada,6,"9,444","Gabrielle Lambert, GeneviÃ¨ve Richard, Ashley Lawrence, Kadeisha Buchanan, Arielle Roy-Petitclerc, Marie Alidou D'Anjou"
3,es Spain,5,"5,274","Jennifer Hermoso, Virginia Torrecilla, Irene Paredes, VerÃ³nica Boquete, Patricia MartÃ­nez Augusto"
4,be Belgium,4,"6,921","Jana Coryn, Janice Cayman, Maud Coutereels, Silke Demeyere"
5,cm Cameroon,4,"5,412","Claudine Meffometou, Yvonne Leuko, Laetitia Chapeh, Aurelle Awona"
6,se Sweden,4,"5,237","Stina Blackstenius, Sofia Jakobsson, Linda Sembrant, Emma Berglund"
7,br Brazil,4,"4,088","Formiga, Ã‰rika, Carol Rodriguez, Kathellen"
8,us United States,4,"3,195","Daphne Corboz, Danielle Tolmais, Casey Murphy, Morgan Gautrat"
9,rs Serbia,3,"3,539","Milica MijatoviÄ‡, Dejana StefanoviÄ‡, Kristina PanteliÄ‡"
10,nl Netherlands,3,"2,987","Shanice van de Sanden, Anouk Dekker, Gloria Mabomba"
11,dz Algeria,2,"2,493","Morgane Belkhiter, Myriam Yasmine Benlazar"
12,pt Portugal,2,"1,955","Raquel Infante, Rafaela Lopes"
13,no Norway,2,"1,861","Ada Hegerberg, Andrine Hegerberg"
14,jp Japan,2,"1,761","Saki Kumagai, Ami ÅŒtaki"
15,de Germany,2,"1,289","Dzsenifer MarozsÃ¡n, Charlotte Voll"
16,pl Poland,2,"1,113","Katarzyna Kiedrzynek, Paulina Dudek"
17,ng Nigeria,1,"1,950",Desire Oparanozie
18,ma Morocco,1,"1,671",Salma Amani
19,eng England,1,"1,653",Lucy Bronze
20,nz New Zealand,1,"1,620",Erin Nayler
21,ro Romania,1,"1,615",Anne-Marie BÄƒnuÈ›Äƒ
22,ie Ireland,1,"1,458",Niamh Fahey
23,is Iceland,1,"1,358",FanndÃ­s FriÃ°riksdÃ³ttir
24,mq Martinique,1,"1,316",AurÃ©lie Rouge
25,ru Russia,1,"1,254",Ekaterina TyryÅ¡kina
26,dk Denmark,1,"1,126",Katrine Veje
27,lb Lebanon,1,"1,076",Pilar Khoury
28,cl Chile,1,990,Christiane Endler
29,mx Mexico,1,278,Cristina Ferral
30,cr Costa Rica,1,192,Shirley Cruz
31,tr Turkey,1,186,Melike Pekel
32,ht Haiti,1,140,Nerilia Mondesir
