Rk,Nation,# Players,Min,List
1,eng England,159,"89,989","Bethany England, Fara Williams, Lauren Hemp, Chloe Kelly, Aileen Whelan, Keira Walsh, Katie Zelem, Gemma Bonner, Steph Houghton, Ellen White ..."
2,sco Scotland,22,"15,813","Caroline Weir, Lisa Evans, Lucy Graham, Kim Little, Erin Cuthbert, Martha Thomas, Hannah Godfrey, Abbi Grant, Frankie Brown, Chloe Arthur ..."
3,wal Wales,14,"11,803","Sophie Ingle, Kayleigh Green, Angharad James, Hayley Ladd, Anna Filbey, Josephine Green, Gemma Evans, Rachel Rowe, Rhiannon Roberts, Loren Dykes ..."
4,ie Ireland,13,"6,481","Niamh Fahey, Katie McCabe, Courtney Brosnan, Grace Moloney, Harriet Scott, Megan Connolly, Leanne Kiernan, Megan Campbell, Louise Quinn, Ruesha Littlejohn ..."
5,nl Netherlands,12,"8,694","Vivianne Miedema, DaniÃ«lle van de Donk, Danique Kerkdijk, Inessa Kaagman, Jackie Groenen, Jill Roord, Siri Worm, Tessel Middag, Kika van Es, Vita van der Linden ..."
6,no Norway,9,"5,958","Guro Reiten, Maren Mjelde, Amalie Eikeland, Kristine Leine, Cecilie Kvamme, Lisa-Marie Karlseng Utland, Maria Thorisdottir, Cecilie Fiskerstrand, Aurora Mikalsen"
7,de Germany,7,"5,721","Pauline Bremer, Katharina Baunach, Laura Vetterlein, Ann-Katrin Berger, Anke PreuÃŸ, Leonie Maier, Julia Simic"
8,fr France,5,"3,598","Kenza Dali, LÃ©a Le Garrec, MaÃ©va Clemaron, Pauline Peyraud Magnin, Karima Benameur"
9,se Sweden,5,"3,176","Jonna Andersson, Magdalena Eriksson, Amanda NildÃ©n, Lotta Ã–kvist, Filippa WallÃ©n"
10,us United States,4,"2,330","Adrienne Jordan, Brianna Visalli, Brooke Hendrix, Erin Simon"
11,kr South Korea,4,"1,710","Ji So-yun, Cho So-hyun, Lee Geum-min, Jeon Ga-eul"
12,nir Northern Ireland,3,"3,039","Rachel Furness, Simone Magill, Rebecca Holloway"
13,ch Switzerland,3,"2,327","Alisha Lehmann, Lia WÃ¤lti, Ramona Bachmann"
14,ca Canada,3,"1,811","Janine Beckie, Adriana Leon, Rylee Foster"
15,au Australia,3,874,"Jacynta Galabadaarachchi, Sam Kerr, Chloe Logarzo"
16,nz New Zealand,2,"2,281","Ria Percival, Olivia Chance"
17,be Belgium,2,"2,045","Yana Daniels, Tessa Wullaert"
18,at Austria,2,"1,956","Manuela Zinsberger, Viktoria Schnaderbeck"
19,fi Finland,2,"1,071","Tinja-Riikka Korpela, Adelina Engman"
20,dk Denmark,2,593,"Matilde Lundorf, Katrine Veje"
21,ng Nigeria,1,635,Iniabasi Umotong
22,pt Portugal,1,64,Matilde Fidalgo
23,is Iceland,1,49,Rakel HÃ¶nnudÃ³ttir
24,pl Poland,1,1,Wiktoria Kiszkis
