Rk,Nation,# Players,Min,List
1,de Germany,199,"133,966","Laura Freigang, Svenja Huth, Sydney Lohmann, Tabea WaÃŸmuth, Lina Magull, Chiara Loos, Klara BÃ¼hl, Tanja Pawollek, Lea SchÃ¼ller, Lena Oberdorf ..."
2,at Austria,18,"14,253","Nicole Billa, Katharina Naschenweng, Sarah Zadrazil, Barbara Dunst, Carina Wenninger, Marina Georgieva, Laura Feiersinger, Verena Aschauer, Virginia Kirchberger, Laura Wienroither ..."
3,ch Switzerland,10,"4,409","GÃ©raldine Reuteler, Luana BÃ¼hler, Lara Marti, Sandrine Mauron, Lara Dickenmann, Tyara Buser, Elvira Herzog, Naomi MÃ©groz, Ella Touon, Cinzia Zehnder"
4,us United States,8,"3,814","Taylor Kornieck, Jannelle Flaws, Jorian Baucom, Meaghan Nally, Adrienne Jordan, Danielle Tolmais, Summer Green, Bryane Heaberlin"
5,pl Poland,7,"6,407","MaÅ‚gorzata Mesjasz, Katarzyna Kiedrzynek, Agata TarczyÅ„ska, Agnieszka Winczo, Sylwia Matysik, Patrycja Balcerzak, Ewa Pajor"
6,hu Hungary,7,"5,872","Zsanett Jakabfi, Henrietta CsiszÃ¡r, DÃ³ra Zeller, Lilla TurÃ¡nyi, Gabriella TÃ³th, Dora SÃ¼le, Laura KovÃ¡cs"
7,nl Netherlands,6,"5,678","Myrthe Moorrees, Dominique Janssen, Lineth Beerensteyn, Jill Baijings, Jacintha Weimar, Shanice van de Sanden"
8,dk Denmark,6,"1,857","Sara Holmgaard, Karoline Smidt Nielsen, Karen Holmgaard, Molli Plasmann, Simone Boye SÃ¸rensen, Sofie Svava"
9,se Sweden,5,"3,187","Hanna Glas, Amanda Ilestedt, Rebecka Blomqvist, Fridolina RolfÃ¶, Emma Lind"
10,si Slovenia,4,"2,124","Lara PraÅ¡nikar, Sara AgreÅ¾, Zala MerÅ¡nik, Adrijana Mori"
11,nz New Zealand,3,"1,088","Jana RadosavljeviÄ‡, Hannah Wilkinson, Maya Hahn"
12,is Iceland,3,683,"Sandra Jessen, Alexandra JÃ³hannsdÃ³ttir, KarÃ³lÃ­na Lea VilhjÃ¡lmsdÃ³ttir"
13,ie Ireland,2,"2,031","Claire O'Riordan, Diane Caldwell"
14,no Norway,2,"1,679","Ingrid Syrstad Engen, Karina SÃ¦vik"
15,sk Slovakia,2,"1,425","Jana VojtekovÃ¡, Lucia HarÅ¡Ã¡nyovÃ¡"
16,gr Greece,2,"1,360","Eleni Markou, Athanasia Moraitou"
17,hr Croatia,2,"1,247","Ivana Rudelic, Martina TufekoviÄ‡"
18,fr France,2,877,"Viviane Asseyi, Marion Gavat"
19,al Albania,1,"1,368",Geldona Morina
20,au Australia,1,"1,345",Beattie Goad
21,ba Bosnia and Herzegovina,1,"1,206",Milena NikoliÄ‡
22,rs Serbia,1,"1,023",Dina BlagojeviÄ‡
23,ng Nigeria,1,778,Patricia George
24,xk Kosovo,1,682,Ereleta Memeti
25,ca Canada,1,468,Sura Yekka
26,jp Japan,1,342,Mina Tanaka
27,br Brazil,1,188,LetÃ­cia Santos
28,kn Saint Kitts and Nevis,1,119,Phornetia Browne
29,lv Latvia,1,118,Sandra VoitÄne
30,tr Turkey,1,88,Ecem Cumert
