Rk,Nation,# Players,Min,List
1,us United States,194,"168,094","Sydney Leroux, Kealia Watt, Mallory Pugh, Sofia Huerta, Caprice Dydasco, Carson Pickett, Ashley Hatch, Katie Naughton, Cecelia Kizer, Savannah McCaskill ..."
2,ca Canada,16,"11,337","Nichelle Prince, Christine Sinclair, Victoria Pickett, Sophie Schmidt, Allysha Chapman, Kailen Sheridan, Desiree Scott, Quinn, Evelyne Viens, Erin McLeod ..."
3,eng England,6,"6,062","Rachel Daly, Ebony Salmon, Jodie Taylor, Gemma Bonner, Amy Turner, Karen Bardsley"
4,jp Japan,6,"5,563","Trinity Rodman, YÅ«ki Nagasato, Nahomi Kawasumi, Saori Takarada, Kumi Yokoyama, Yuka Momiki"
5,jm Jamaica,6,"1,818","Havana Solaun, Cheyna Matthews, Chinyelu Asher, Konya Plummer, Deneisha Blackwood, Sydney Schneider"
6,nz New Zealand,4,"4,588","Abby Erceg, Ali Riley, Katie Bowen, Rosie White"
7,mx Mexico,4,"1,099","Katie Johnson, Maria Sanchez, Karina Rodriguez, Jimena LÃ³pez"
8,br Brazil,3,"3,597","Marta, Debinha, Angelina"
9,fr France,3,"3,472","EugÃ©nie Le Sommer, Sarah Bouhaddi, GaÃ«tane Thiney"
10,wls Wales,2,"2,610","Jess Fishlock, Angharad James"
11,ie Republic of Ireland,2,"2,559","Denise O'Sullivan, Diane Caldwell"
12,se Sweden,2,"2,388","Freja Olofsson, Julia Roddar"
13,cr Costa Rica,2,"2,150","Raquel RodrÃ­guez, Shirley Cruz"
14,is Iceland,2,"2,074","Gunnhildur Yrsa JÃ³nsdÃ³ttir, Andrea RÃ¡n HauksdÃ³ttir"
15,ng Nigeria,2,"1,905","Ifeoma Onumonu, Michelle Alozie"
16,cm Cameroon,2,"1,731","Estelle Johnson, Michaela Abam"
17,au Australia,2,237,"Chloe Logarzo, Emily van Egmond"
18,sct Scotland,1,"1,441",Rachel Corsie
19,de Germany,1,"1,383",Dzsenifer MarozsÃ¡n
20,fi Finland,1,"1,371",Natalia Kuikka
21,gh Ghana,1,812,Jennifer Cudjoe
22,st SÃ£o TomÃ© and PrÃ­ncipe,1,729,Samantha Hiatt
23,es Spain,1,704,Celia JimÃ©nez
24,ba Bosnia and Herzegovina,1,675,DiDi Haracic
25,ar Argentina,1,655,Mariana Larroquette
26,kr Korea Republic,1,571,Lee So-dam
27,dk Denmark,1,570,Nadia Nadim
28,pt Portugal,1,551,JÃ©ssica Silva
29,ve Venezuela,1,96,Mariana Speckmaier
30,do Dominican Republic,1,5,Vanessa Kara
