Rk,Nation,# Players,Min,List
1,it Italy,241,"128,631","Cristiana Girelli, Valentina Giacinti, Valeria Pirone, Daniela Sabatino, Cecilia Prugna, Gloria Marinelli, Annamaria Serturini, Norma Cinotti, Sofia Cantore, Barbara Bonansea ..."
2,se Sweden,9,"6,983","Ã…sa Emelie Helmvall, Linda Sembrant, Jenny Hjohlman, Lina Hurtig, Sara Nilsson, Stephanie Ã–hrstrÃ¶m, Jonna Dahlberg, Marija BanuÅ¡iÄ‡, Sophie Eva Brundin"
3,dk Denmark,7,"4,998","Caroline MÃ¸ller, Frederikke ThÃ¸gersen, Sofie Junge Pedersen, Matilde Lundorf, Caroline Rask, Janni Arnth, Silvia Leonessi"
4,fr France,6,"5,435","Laura Agard, Sarah Huchet, Lindsey Thomas, Annahita Zamanian, Julie Debever, Ã‰mmeline Mainguy"
5,eng England,6,"5,010","Natasha Dowie, Danielle Lea, Karin Muya, Millie Chandarana, Chelsea Weston, Vyan Sampson"
6,de Germany,6,"3,945","Tamar Dongus, Stephanie Breitner, Florin Wagner, Vivien Beil, Jennifer Cramer, Julia Simic"
7,nl Netherlands,6,"3,914","ChantÃ© Dompig, Tessel Middag, Pia Rijsdijk, Vanessa Susanna, Sofieke Jansen, Anna Knol"
8,cz Czech Republic,4,"3,242","Kamila DubcovÃ¡, Andrea StaÅ¡kovÃ¡, Eva BartoÅˆovÃ¡, Gabriela MatouÅ¡kovÃ¡"
9,si Slovenia,4,"2,269","Sara KetiÅ¡, Dominika ÄŒonÄ, Kaja ErÅ¾en, Nika Babnik"
10,ro Romania,4,900,"Camelia Ceasar, Katia Ghioc, Antonia Bratu, Adina Giurgiu"
11,fi Finland,3,"3,217","Paula Myllyoja, Tuija Hyyrynen, Anna Auvinen"
12,jp Japan,3,"2,977","Mana Mihashi, Shino Kunisawa, Yui Hasegawa"
13,br Brazil,3,"2,480","Andressa, Maria Alves, Kathellen"
14,au Australia,3,"1,374","Alexandra Huynh, Isobel Dalton, Jacynta Galabadaarachchi"
15,us United States,3,"1,143","Janelle Cordia, Abigail Kim, Mariah Cameron"
16,mt Malta,3,808,"Haley Bugeja, Kailey Willis, Nicole Sciberras"
17,be Belgium,2,"2,969","Diede Lemey, Davina Philtjens"
18,es Spain,2,"2,006","Paloma LÃ¡zaro, VerÃ³nica Boquete"
19,hr Croatia,2,"1,598","Ana JelenÄiÄ‡, Doris BaÄiÄ‡"
20,sco Scotland,2,"1,499","Christy Grimshaw, Lana Clelland"
21,co Colombia,2,"1,495","Catalina PÃ©rez, Yoreli RincÃ³n"
22,ch Switzerland,2,"1,289","Vanessa Bernauer, Seraina Friedli"
23,sm San Marino,2,"1,241","Yesica Menin, Eleonora Cecchini"
24,no Norway,2,858,"Andrine Hegerberg, Marthe Enlid"
25,is Iceland,2,852,"GuÃ°nÃ½ ÃrnadÃ³ttir, LÃ¡ra KristÃ­n Pedersen"
26,ng Nigeria,2,796,"Rafiat Sule, Osinachi Ohale"
27,jm Jamaica,1,"1,519",Allyson Swaby
28,sk Slovakia,1,"1,485",MÃ¡ria KorenÄiovÃ¡
29,pl Poland,1,"1,260",Madison SoÅ‚ow
30,ie Ireland,1,"1,227",Louise Quinn
31,za South Africa,1,"1,095",Refiloe Jane
32,pt Portugal,1,837,ClÃ¡udia Neto
33,bg Bulgaria,1,607,Evdokiya Popadinova
34,ee Estonia,1,446,Vlada Kubassova
35,gr Greece,1,400,Despoina Chatzinikolaou
36,gt Guatemala,1,268,Ana MartÃ­nez
37,ba Bosnia and Herzegovina,1,197,Lidija KuliÅ¡
38,ar Argentina,1,77,Dalila Ippolito
39,mx Mexico,1,,Estefania Fuentes
