Rk,Nation,# Players,Min,List
1,eng England,161,"101,151","Fran Kirby, Chloe Kelly, Ellen White, Izzy Christiansen, Ella Toone, Beth Mead, Leah Galton, Aileen Whelan, Bethany England, Ebony Salmon ..."
2,sco Scotland,19,"14,710","Caroline Weir, Lucy Graham, Claire Emslie, Emma Mitchell, Erin Cuthbert, Martha Thomas, Kim Little, Kirsty Hanson, Christie Murray, Jamie-Lee Napier ..."
3,wal Wales,13,"12,649","Jess Fishlock, Natasha Harding, Angharad James, Hayley Ladd, Gemma Evans, Rachel Rowe, Sophie Ingle, Josephine Green, Kayleigh Green, Lily Woodham ..."
4,au Australia,10,"9,544","Sam Kerr, Caitlin Foord, Emily van Egmond, Hayley Raso, Alanna Kennedy, Mackenzie Arnold, Ella Mastrantonio, Chloe Logarzo, Lydia Williams, Steph Catley"
5,no Norway,10,"8,370","Amalie Eikeland, Maren Mjelde, Ingrid Moe Wold, Cecilie Kvamme, Guro Reiten, Kristine Leine, Cecilie Fiskerstrand, Maria Thorisdottir, Aurora Mikalsen, Benedicte HÃ¥land"
6,nl Netherlands,9,"9,285","Vivianne Miedema, Inessa Kaagman, Jill Roord, Jackie Groenen, Danique Kerkdijk, Siri Worm, DaniÃ«lle van de Donk, Nadine Hanssen, Kika van Es"
7,ie Ireland,9,"8,215","Katie McCabe, Grace Moloney, Megan Connolly, Harriet Scott, Rianna Jarrett, Denise O'Sullivan, Ruesha Littlejohn, Courtney Brosnan, Leanne Kiernan"
8,de Germany,8,"8,028","Melanie Leupolz, Lisa WeiÃŸ, Ann-Katrin Berger, Laura Vetterlein, Marisa Ewers, Ramona Petzelberger, Caroline Siems, Leonie Maier"
9,us United States,6,"3,266","Sam Mewis, Tobin Heath, Christen Press, Abby Dahlkemper, Rose Lavelle, Alex Morgan"
10,se Sweden,5,"3,122","Magdalena Eriksson, Jonna Andersson, Zecira Musovic, Lotta Ã–kvist, Nor Mustafa"
11,fr France,5,"2,306","Kenza Dali, ValÃ©rie Gauvin, MaÃ©va Clemaron, Hawa Cissoko, Karima Benameur"
12,dk Denmark,4,"4,490","Pernille Harder, Nicoline SÃ¸rensen, Rikke LÃ¦ntver Sevecke, Stine Larsen"
13,ca Canada,4,"3,266","Shelina Zadorsky, Adriana Leon, Janine Beckie, Jessie Fleming"
14,ch Switzerland,4,"3,153","Lia WÃ¤lti, Alisha Lehmann, NoÃ«lle Maritz, Malin Gut"
15,nir Northern Ireland,4,"2,937","Rebecca Holloway, Simone Magill, Laura Rafferty, Chloe McCarron"
16,kr South Korea,4,"2,900","Ji So-yun, Lee Geum-min, Cho So-hyun, Jeon Ga-eul"
17,nz New Zealand,3,"1,859","Ria Percival, Rebekah Stott, Erin Nayler"
18,fi Finland,3,"1,273","Emma Koivisto, Tinja-Riikka Korpela, Nora Heroum"
19,es Spain,2,"1,827","Ona Batlle, Damaris Egurrola"
20,at Austria,2,"1,449","Manuela Zinsberger, Viktoria Schnaderbeck"
21,be Belgium,1,"1,353",Yana Daniels
22,cz Czech Republic,1,955,KateÅ™ina SvitkovÃ¡
23,jp Japan,1,648,Mana Iwabuchi
24,pt Portugal,1,495,Diana Silva
25,is Iceland,1,353,DagnÃ½ BrynjarsdÃ³ttir
26,br Brazil,1,100,Ivana Fuso
27,pl Poland,1,1,Wiktoria Kiszkis
28,mx Mexico,1,,Silvana Flores
