Nation,Player,Minutes,Players
United States,147,"156,192","Amy Rodriguez, Heather O'Reilly, Lauren Holiday, Kelley O'Hara, Allie Long, Carli Lloyd, Katy Freels, Christine Nairn, Beverly Yanez, McCall Zerboni ..."
Canada,14,"17,762","Diana Matheson, Christine Sinclair, Sophie Schmidt, Kaylyn Kyle, Karina LeBlanc, Erin McLeod, Rachel Quon, Adriana Leon, Robyn Gayle, Melissa Tancredi ..."
Australia,8,"8,318","Sam Kerr, Caitlin Foord, Lisa De Vanna, Steph Catley, Lydia Williams, Emily van Egmond, Katrina Gorry, Teigen Allen"
Mexico,7,"5,338","Arianna Romero, Bianca Sierra, Mónica Ocampo, Teresa Noyola, Renae Cuéllar, Bianca Henninger, Jackie Acevedo"
Spain,4,"4,991","Vicky Losada, Verónica Boquete, Adriana, Sonia Bermúdez"
England,2,"3,251","Jodie Taylor, Lianne Sanderson"
Germany,2,"2,508","Nadine Angerer, Kerstin Garefrekes"
Japan,2,"2,440","Nahomi Kawasumi, Nanase Kiryu"
New Zealand,2,"1,015","Abby Erceg, Emma Kete"
Wales,1,"1,976",Jess Fishlock
Poland,1,"1,970",Nikki Phillips
Scotland,1,"1,966",Kim Little
Nigeria,1,"1,555",Osinachi Ohale
Austria,1,978,Nina Burger
Samoa,1,588,Mariah Bullock
Brazil,1,507,Rafaelle Souza
Denmark,1,495,Nadia Nadim
Bermuda,1,92,Dominique Richardson
Bosnia and Herzegovina,1,90,DiDi Haracic
