,Nation,Player,Minutes,Players
0,United States,147,"156,192","Amy Rodriguez, Heather O'Reilly, Lauren Holiday, Kelley O'Hara, Allie Long, Carli Lloyd, Katy Freels, Christine Nairn, Beverly Yanez, McCall Zerboni ..."
1,Canada,14,"17,762","Diana Matheson, Christine Sinclair, Sophie Schmidt, Kaylyn Kyle, Karina LeBlanc, Erin McLeod, Rachel Quon, Adriana Leon, Robyn Gayle, Melissa Tancredi ..."
2,Australia,8,"8,318","Sam Kerr, Caitlin Foord, Lisa De Vanna, Steph Catley, Lydia Williams, Emily van Egmond, Katrina Gorry, Teigen Allen"
3,Mexico,7,"5,338","Arianna Romero, Bianca Sierra, Mónica Ocampo, Teresa Noyola, Renae Cuéllar, Bianca Henninger, Jackie Acevedo"
4,Spain,4,"4,991","Vicky Losada, Verónica Boquete, Adriana, Sonia Bermúdez"
5,England,2,"3,251","Jodie Taylor, Lianne Sanderson"
6,Germany,2,"2,508","Nadine Angerer, Kerstin Garefrekes"
7,Japan,2,"2,440","Nahomi Kawasumi, Nanase Kiryu"
8,New Zealand,2,"1,015","Abby Erceg, Emma Kete"
9,Wales,1,"1,976",Jess Fishlock
10,Poland,1,"1,970",Nikki Phillips
11,Scotland,1,"1,966",Kim Little
12,Nigeria,1,"1,555",Osinachi Ohale
13,Austria,1,978,Nina Burger
14,Samoa,1,588,Mariah Bullock
15,Brazil,1,507,Rafaelle Souza
16,Denmark,1,495,Nadia Nadim
17,Bermuda,1,92,Dominique Richardson
18,Bosnia and Herzegovina,1,90,DiDi Haracic
