,Rk,Nation,# Players,Min,List
0,1,United States,156,"145,489","Crystal Dunn, Allie Long, Christine Nairn, Kristie Mewis, Kealia Watt, Sam Mewis, Jessica McDonald, Katy Freels, Vanessa DiBernardo, Becky Edwards ..."
1,2,Canada,16,"6,864","Christine Sinclair, Diana Matheson, Rachel Quon, Erin McLeod, Karina LeBlanc, Nkem Ezurike, Kaylyn Kyle, Sabrina D'Angelo, Melissa Tancredi, Allysha Chapman ..."
2,3,Australia,8,"5,503","Sam Kerr, Ellie Brush, Michelle Heyman, Caitlin Foord, Kyah Simon, Clare Polkinghorne, Hayley Raso, Steph Catley"
3,4,Brazil,5,"2,361","Rafinha, Andressinha, Camila, Bia, Ketlen Wiggers"
4,5,Nigeria,4,"1,506","Francisca Ordega, Halimatu Ayinde, Ngozi Okobi, Josephine Chukwunonye"
5,6,Denmark,3,"2,027","Nadia Nadim, Katrine Veje, Camilla Kur Larsen"
6,7,England,3,"1,664","Rachael Axon, Jodie Taylor, Lianne Sanderson"
7,8,Scotland,2,"3,057","Kim Little, Rachel Corsie"
8,9,Cameroon,2,"1,813","Estelle Johnson, Ajara Nchout"
9,10,Portugal,2,"1,093","Amanda DaCosta, Suzane Pires"
10,11,Wales,1,"1,699",Jess Fishlock
11,12,New Zealand,1,"1,085",Abby Erceg
12,13,Mexico,1,868,Bianca Henninger
13,14,Equatorial Guinea,1,759,Genoveva AÃ±onma
14,15,Spain,1,698,Laura del RÃ­o
15,16,Germany,1,540,Nadine Angerer
16,17,Samoa,1,441,Mariah Bullock
17,18,Colombia,1,328,Lady Andrade
18,19,Argentina,1,308,EstefanÃ­a Banini
19,20,Ireland,1,24,Stephanie Roche
20,21,Netherlands,1,8,Maruschka Waldus
