Rk,Nation,# Players,Min,List
1,eng England,135,"46,959","Jordan Nobbs, Karen Carney, Danielle Carter, Alex Greenwood, Gemma Bonner, Toni Duggan, Anna Patten, Lindsay Rogers, Millie Bright, Lucy Staniforth ..."
2,wal Wales,18,"7,665","Natasha Harding, Helen Bleazard, Rachel Rowe, Sophie Ingle, Hayley Ladd, Nadia Lawrence, Ellie Curson, Melissa Fletcher, Nicola Cousins, Nia Jones ..."
3,sco Scotland,8,"3,437","Caroline Weir, Claire Emslie, Chloe Arthur, Erin Cuthbert, Jennifer Beattie, Jane Ross, Frankie Brown, Kim Little"
4,ie Ireland,8,"2,142","Louise Quinn, Harriet Scott, Stephanie Roche, Megan Campbell, Marie Hourihan, Niamh Fahey, Katie McCabe, Grace Moloney"
5,nl Netherlands,7,"3,471","DaniÃ«lle van de Donk, Dominique Bruinenberg, Shanice van de Sanden, Sari van Veenendaal, Dominique Janssen, Mandy van den Berg, Tessel Middag"
6,us United States,4,"1,846","Heather O'Reilly, Crystal Dunn, Beverly Leon, Carli Lloyd"
7,no Norway,3,"1,357","Maren Mjelde, Andrine Hegerberg, Hilde Gunn Olsen"
8,de Germany,3,"1,201","Anke PreuÃŸ, Ann-Katrin Berger, Marisa Ewers"
9,nir Northern Ireland,2,571,"Rachel Furness, Becky Flaherty"
10,nz New Zealand,1,484,Anna Green
11,kr South Korea,1,469,Ji So-yun
12,ch Switzerland,1,435,Ramona Bachmann
13,se Sweden,1,274,Kosovare Asllani
14,fr France,1,170,Anissa Lahmari
