Rk,Nation,# Players,Min,List
1,us United States,165,"162,844","Christen Press, Lynn Williams, Sam Mewis, Sofia Huerta, Shea Groom, Sydney Leroux, Megan Rapinoe, Sarah Woldmoe, Lindsey Horan, Julie Ertz ..."
2,ca Canada,12,"17,704","Christine Sinclair, Adriana Leon, Janine Beckie, Desiree Scott, Kailen Sheridan, Nichelle Prince, Shelina Zadorsky, Allysha Chapman, Stephanie LabbÃ©, Maegan Kelly ..."
3,br Brazil,9,"10,622","Marta, Camila, Poliana, Debinha, Andressinha, Monica Hickmann Alves, Bruna, Rosana dos Santos Augusto, MÃ´nica AngÃ©lica de Paula"
4,au Australia,8,"10,000","Sam Kerr, Hayley Raso, Alanna Kennedy, Steph Catley, Ashleigh Sykes, Lydia Williams, Larissa Crummer, Laura Alleway"
5,nz New Zealand,4,"6,506","Rosie White, Abby Erceg, Rebekah Stott, Katie Bowen"
6,eng England,4,"5,683","Rachel Daly, Natasha Dowie, Chioma Ubogagu, Leah Galton"
7,jp Japan,4,"4,475","Nahomi Kawasumi, Rumi Utsugi, Yuri Kawamura, YÅ«ki Nagasato"
8,jm Jamaica,2,"2,976","Havana Solaun, Cheyna Matthews"
9,dk Denmark,2,"1,719","Nadia Nadim, Line Jensen"
10,mx Mexico,2,808,"Katie Johnson, Bianca Henninger"
11,no Norway,2,546,"Emilie Haavi, Nora Holstad Berge"
12,wal Wales,1,"1,742",Jess Fishlock
13,cm Cameroon,1,"1,677",Estelle Johnson
14,fr France,1,"1,613",Amandine Henry
15,za South Africa,1,"1,471",Janine van Wyk
16,cr Costa Rica,1,"1,455",Raquel RodrÃ­guez
17,sco Scotland,1,"1,128",Rachel Corsie
18,ie Ireland,1,951,Denise O'Sullivan
19,ng Nigeria,1,928,Francisca Ordega
20,ba Bosnia and Herzegovina,1,630,DiDi Haracic
21,ar Argentina,1,546,EstefanÃ­a Banini
22,is Iceland,1,511,DagnÃ½ BrynjarsdÃ³ttir
23,pt Portugal,1,385,Amanda DaCosta
24,de Germany,1,90,Madalyn Schiffel
25,cl Chile,1,,Yanara Aedo
