Rk,Nation,# Players,Min,List
1,us United States,167,"142,349","Lynn Williams, Lindsey Horan, Sofia Huerta, Jessica McDonald, Crystal Dunn, Tobin Heath, Sarah Woldmoe, Megan Rapinoe, Alyssa Mautz, Merritt Mathias ..."
2,ca Canada,14,"15,687","Christine Sinclair, Shelina Zadorsky, Kailen Sheridan, Desiree Scott, Diana Matheson, Allysha Chapman, Rebecca Quinn, Nichelle Prince, Janine Beckie, Lindsay Agnew ..."
3,au Australia,11,"12,608","Sam Kerr, Alanna Kennedy, Steph Catley, Lydia Williams, Ellie Carpenter, Kyah Simon, Emily van Egmond, Katrina Gorry, Hayley Raso, Clare Polkinghorne ..."
4,br Brazil,8,"6,683","Debinha, Marta, Monica Hickmann Alves, Andressinha, Poliana, Thaisa, Camila, MÃ´nica AngÃ©lica de Paula"
5,nz New Zealand,4,"4,751","Abby Erceg, Katie Bowen, Rebekah Stott, Rosie White"
6,jp Japan,4,"3,813","YÅ«ki Nagasato, Rumi Utsugi, Nahomi Kawasumi, Yuri Kawamura"
7,eng England,3,"5,566","Rachel Daly, Jodie Taylor, Chioma Ubogagu"
8,za South Africa,3,"3,889","Linda Motlhalo, Janine van Wyk, Thembi Kgatlana"
9,cm Cameroon,2,"1,943","Estelle Johnson, Michaela Abam"
10,mx Mexico,2,"1,163","Katie Johnson, Bianca Henninger"
11,is Iceland,1,"2,160",Gunnhildur Yrsa JÃ³nsdÃ³ttir
12,sco Scotland,1,"2,089",Rachel Corsie
13,ie Ireland,1,"1,745",Denise O'Sullivan
14,dk Denmark,1,"1,656",Theresa Nielsen
15,wal Wales,1,"1,538",Jess Fishlock
16,ch Switzerland,1,"1,400",Ana-Maria CrnogorÄeviÄ‡
17,ng Nigeria,1,"1,187",Francisca Ordega
18,cr Costa Rica,1,910,Raquel RodrÃ­guez
19,ar Argentina,1,885,EstefanÃ­a Banini
20,gh Ghana,1,688,Elizabeth Addo
21,jm Jamaica,1,498,Havana Solaun
22,no Norway,1,358,Elise Thorsnes
23,ba Bosnia and Herzegovina,1,180,DiDi Haracic
24,cl Chile,1,,Yanara Aedo
25,ee Estonia,1,,Ryann Torrero
26,pt Portugal,1,,NÃ¡dia Gomes
27,se Sweden,1,,Lotta Ã–kvist
