,Nation,# Players sum,latitude,longitude
0,Albania,1,41.0,20.0
1,Algeria,2,28.0,3.0
2,Argentina,1,-34.0,-64.0
3,Australia,10,-25.0,135.0
4,Austria,15,47.33333,13.33333
5,Belgium,9,50.75,4.5
6,Bosnia and Herzegovina,3,44.25,17.83333
7,Brazil,15,-10.0,-55.0
8,Cameroon,5,6.0,12.5
9,Canada,24,60.10867,-113.64258
10,Chile,2,-33.45694,-70.64827
11,Costa Rica,2,10.0,-84.0
12,Croatia,2,45.16667,15.5
13,Czech Republic,3,49.75,15.0
14,Denmark,8,56.0,10.0
15,England,167,54.7584,-2.69531
16,Equatorial Guinea,1,1.7,10.5
17,Finland,2,64.0,26.0
18,France,243,46.0,2.0
19,Germany,218,51.5,10.5
20,Greece,1,39.0,22.0
21,Haiti,1,19.0,-72.41667
22,Hungary,2,47.0,20.0
23,Iceland,3,65.0,-18.0
24,Ireland,11,53.0,-8.0
25,Israel,1,31.5,34.75
26,Jamaica,3,18.16667,-77.25
27,Japan,8,35.68536,139.75309
28,Kosovo,1,,
29,Lebanon,1,33.83333,35.83333
30,Martinique,1,14.66667,-61.0
31,Mexico,3,19.42847,-99.12766
32,Morocco,1,32.0,-6.0
33,Netherlands,20,52.25,5.75
34,New Zealand,10,-42.0,174.0
35,Nigeria,2,10.0,8.0
36,Norway,10,62.0,10.0
37,Poland,6,52.0,20.0
38,Portugal,4,39.6945,-8.13057
39,Romania,1,46.0,25.0
40,Russia,1,60.0,100.0
41,Scotland,12,54.7584,-2.69531
42,Serbia,5,44.81892,20.45998
43,Slovenia,1,46.08333,15.0
44,South Africa,1,-29.0,24.0
45,South Korea,1,36.5,127.75
46,Spain,5,40.0,-4.0
47,Sweden,12,62.0,15.0
48,Switzerland,9,47.00016,8.01427
49,Turkey,1,39.0,35.0
50,United States,177,39.76,-98.5
51,Wales,30,54.7584,-2.69531
