Rk,Nation,# Players,Min,List
1,de Germany,210,"170,587","Lea SchÃ¼ller, Sara DÃ¤britz, Alexandra Popp, Maximiliane Rall, Giulia Gwinn, DÃ¶rthe Hoppius, Tanja Pawollek, Felicitas Rauch, Laura Freigang, Svenja Huth ..."
2,at Austria,21,"24,170","Laura Feiersinger, Nicole Billa, Sarah Zadrazil, Barbara Dunst, Nadine Prohaska, Verena Aschauer, Katharina Schiechtl, Carina Wenninger, Manuela Zinsberger, Elisabeth Mayr ..."
3,ch Switzerland,9,"6,609","GÃ©raldine Reuteler, NoÃ«lle Maritz, Luana BÃ¼hler, Rahel Kiwic, Isabelle Meyer, Marilena Widmer, Lara Dickenmann, Francesca CalÃ², Rachel Rinast"
4,nl Netherlands,8,"7,494","Desiree van Lunteren, Lineth Beerensteyn, Jill Roord, Jackie Groenen, Amber van Heeswijk, Kelsey Geraedts, Kim Everaerts, Jacintha Weimar"
5,hu Hungary,4,"4,814","Gabriella TÃ³th, Henrietta CsiszÃ¡r, Zsanett Jakabfi, DÃ³ra Zeller"
6,us United States,4,"3,019","Bryane Heaberlin, Gina Lewandowski, Ella Masar, Bella Geist"
7,dk Denmark,3,"4,024","Pernille Harder, Louise Ringsing, Cecilie Sandvej"
8,sk Slovakia,3,"3,735","Jana VojtekovÃ¡, Dominika Å korvÃ¡nkovÃ¡, Lucia HarÅ¡Ã¡nyovÃ¡"
9,rs Serbia,3,"3,691","Anne Catherine Kufner, Dina BlagojeviÄ‡, Jovana DamnjanoviÄ‡"
10,se Sweden,3,"3,651","Nilla Fischer, Fridolina RolfÃ¶, Amanda Ilestedt"
11,pt Portugal,3,"2,764","Ana Cristina Oliveira Leite, ClÃ¡udia Neto, Andreia Norton"
12,ca Canada,3,"1,589","Danica Wu, Myia Wilkes, Erin McLeod"
13,jp Japan,3,"1,326","Hikaru Naomoto, Keiko Kodama, Fuko Takahashi"
14,ie Ireland,2,"3,711","Claire O'Riordan, Diane Caldwell"
15,no Norway,2,"2,326","Caroline Graham Hansen, Kristine Minde"
16,hr Croatia,2,"1,958","Ivana Rudelic, Martina TufekoviÄ‡"
17,is Iceland,2,"1,947","Sara BjÃ¶rk GunnarsdÃ³ttir, Sandra Jessen"
18,nz New Zealand,2,"1,906","Meikayla Moore, Emma Rolston"
19,pl Poland,2,"1,764","Ewa Pajor, Symela Ciesielska"
20,cz Czech Republic,2,"1,600","KlÃ¡ra CahynovÃ¡, Lucie VoÅˆkovÃ¡"
21,br Brazil,2,"1,417","LetÃ­cia Santos, Ivana Fuso"
22,al Albania,1,"1,487",Geldona Morina
23,si Slovenia,1,"1,266",Lara PraÅ¡nikar
24,il Israel,1,"1,228",Sharon Beck
25,it Italy,1,932,Valentina Oppedisano
26,ba Bosnia and Herzegovina,1,722,Milena NikoliÄ‡
27,jo Jordan,1,609,Sarah Abu Sabbah
28,eng England,1,324,Mary Earps
29,gr Greece,1,319,Sofia Nati
30,fi Finland,1,90,Katriina Talaslahti
31,be Belgium,1,31,Justine Vanhaevermaet
32,kr South Korea,1,,Lee Dahye
