Rk,Nation,# Players,Min,List
1,it Italy,247,"200,785","Valentina Giacinti, Daniela Sabatino, Stefania Tarenzi, Barbara Bonansea, Annamaria Serturini, Cristiana Girelli, Ilaria Mauro, Tatiana Bonetti, Deborah Salvatori Rinaldi, Alia Guagni ..."
2,se Sweden,5,"5,161","Julia Molin, Stephanie Ã–hrstrÃ¶m, Jenny Hjohlman, Petronella Ekroth, Saga Fredriksson"
3,ro Romania,5,"3,587","Laura Rus, Adina Giurgiu, Camelia Ceasar, Bianca Raicu, Alexandra Tunoaia"
4,de Germany,4,"4,855","Stephanie Breitner, Tamar Dongus, Florin Wagner, Jenny Bitzer"
5,fi Finland,4,"4,621","Heidi Kollanen, Nora Heroum, Tuija Hyyrynen, Riikka Hannula"
6,be Belgium,3,"4,413","Diede Lemey, Davina Philtjens, Heleen Jaques"
7,pl Poland,3,"4,007","Karin Czezcka, Katarzyna Daleszczyk, Aleksandra Sikora"
8,ch Switzerland,3,"3,600","GaÃ«lle Thalmann, Vanessa Bernauer, Nicole Studer"
9,bg Bulgaria,3,"2,802","Dessislava Dupuy, Simona Petkova, Liliana Kostova"
10,sk Slovakia,3,"2,737","MÃ¡ria KorenÄiovÃ¡, Lucia OndruÅ¡ovÃ¡, Lucia HarÅ¡Ã¡nyovÃ¡"
11,us United States,3,"1,841","Adrienne Jordan, Anna Rosa Buhigas, Ashley Nick"
12,jm Jamaica,3,"1,765","Toriana Patterson, Allyson Swaby, Trudi Carter"
13,eng England,3,"1,753","Eniola Aluko, Lianne Sanderson, Siobhan Wilson"
14,ie Ireland,3,"1,463","Lois Roche, Sara Osetta, Stephanie Roche"
15,sco Scotland,2,"2,241","Lana Clelland, Eilish McSorley"
16,si Slovenia,2,"1,901","Kaja ErÅ¾en, MaruÅ¡a SevÅ¡ek"
17,hr Croatia,2,"1,440","Doris BaÄiÄ‡, Sandra Å½igiÄ‡"
18,is Iceland,2,666,"Shameeka Fishley, KristrÃºn AntonsdÃ³ttir"
19,al Albania,2,594,"Alma Hilaj, Boralda Aliaj"
20,gr Greece,2,369,"Sophia Koggouli, Ioanna Maria Goula"
21,pt Portugal,1,"1,832",MÃ³nica Mendes
22,fr France,1,"1,710",Laura Agard
23,br Brazil,1,"1,669",Thaisa
24,mt Malta,1,"1,425",Emma Lipman
25,es Spain,1,977,Paloma LÃ¡zaro
26,nl Netherlands,1,842,Corina Luijks
27,dk Denmark,1,776,Sofie Junge Pedersen
28,ca Canada,1,749,Maegan Kelly
29,at Austria,1,223,Nike Winter
30,af Afghanistan,1,27,Hailal Arghandiwal
31,gh Ghana,1,,Alima Moro
