Rk,Nation,# Players,Min,List
1,fr France,198,"129,673","Marie-Antoinette Katoto, Kadidiatou Diani, Viviane Asseyi, Grace Geyoro, Wendie Renard, Amel Majri, Sarah Cambot, Sakina Karchaoui, Louise Fleury, Ã‰lise Bussaglia ..."
2,us United States,13,"7,577","Daphne Corboz, Shnia Gordon, Phallon Tullis-Joyce, Carlin Hudson, Rachel Corboz, Hannah Diaz, Alana Cook, Genessee Daughetee, Haley Lukas, Kristen Ricks ..."
3,de Germany,7,"6,092","Dzsenifer MarozsÃ¡n, Lena Petermann, Marith PrieÃŸen, Sara DÃ¤britz, Claire Savin, Lisa Schmitz, Lisa WeiÃŸ"
4,ca Canada,7,"2,784","Vanessa Gilles, Ashley Lawrence, Jordyn Huitema, Kadeisha Buchanan, Amandine Pierre-Louis, Marie Levasseur, Sonia O'Neill"
5,eng England,6,"4,916","Nikita Parris, Lucy Bronze, Alex Greenwood, Grace Rapp, Jenna Dear, Izzy Christiansen"
6,dk Denmark,5,"5,540","Nadia Nadim, Stine Larsen, Rikke LÃ¦ntver Sevecke, Luna Gevitz, Cecilie Sandvej"
7,br Brazil,5,"2,575","Formiga, Carol Rodriguez, Natascha, Kathellen, Luana"
8,cm Cameroon,4,"3,485","Grace Ngok Yango, Claudine Meffometou, Aurelle Awona, Easther Mayi Kith"
9,tr Turkey,3,"1,741","Ä°pek Kaya, Melike Pekel, Selen Altunkulak"
10,nl Netherlands,3,"1,285","Anouk Dekker, Shanice van de Sanden, Vita van der Linden"
11,ch Switzerland,3,"1,234","Eseosa Aigbogun, Coumba Sow, Camille Surdez"
12,pt Portugal,3,814,"MÃ©lissa Gomes, Josiane Vasconcelos, JÃ©ssica Silva"
13,ua Ukraine,2,"1,807","Tetyana Romanenko, Darya Kravets"
14,pl Poland,2,"1,648","Paulina Dudek, Katarzyna Kiedrzynek"
15,it Italy,2,"1,440","Giorgia Spinelli, Arianna Criscione"
16,no Norway,2,"1,350","Ada Hegerberg, Karina SÃ¦vik"
17,mq Martinique,2,969,"AurÃ©lie Rouge, LÃ©a Sotier"
18,se Sweden,2,465,"Hanna Glas, Marija BanuÅ¡iÄ‡"
19,es Spain,1,"1,260",Irene Paredes
20,hr Croatia,1,"1,207",Iva Landeka
21,cr Costa Rica,1,"1,170",Melissa Herrera
22,ht Haiti,1,"1,170",Nerilia Mondesir
23,jm Jamaica,1,"1,142",Bunny Shaw
24,at Austria,1,"1,098",Sarah Puntigam
25,dz Algeria,1,"1,087",Morgane Belkhiter
26,cl Chile,1,"1,035",Christiane Endler
27,jp Japan,1,954,Saki Kumagai
28,ng Nigeria,1,821,Desire Oparanozie
29,nz New Zealand,1,720,Erin Nayler
30,fi Finland,1,715,Linda SÃ¤llstrÃ¶m
31,sco Scotland,1,695,Christy Grimshaw
32,ru Russia,1,660,Ekaterina TyryÅ¡kina
33,ml Mali,1,319,Aissata TraorÃ©
34,be Belgium,1,289,Janice Cayman
35,au Australia,1,32,Mary Fowler
36,mg Madagascar,1,,Juliette Merle
