Rk,Nation,# Players,Min,List
1,us United States,189,"154,827","Lynn Williams, Ashley Hatch, Amy Rodriguez, Sofia Huerta, Jaelene Hinkle, Kristen Hamilton, Sarah Woldmoe, Casey Short, Bethany Balcer, Rachel Hill ..."
2,au Australia,14,"11,301","Sam Kerr, Steph Catley, Alanna Kennedy, Hayley Raso, Ellie Carpenter, Caitlin Foord, Chloe Logarzo, Clare Polkinghorne, Kyah Simon, Emily van Egmond ..."
3,ca Canada,13,"11,718","Christine Sinclair, Kailen Sheridan, Desiree Scott, Shelina Zadorsky, Sophie Schmidt, Stephanie LabbÃ©, Allysha Chapman, Nichelle Prince, Lindsay Agnew, Rebecca Quinn ..."
4,br Brazil,5,"3,773","Debinha, Marta, Camila, Andressinha, Gabi"
5,mx Mexico,5,"2,082","Katie Johnson, Arianna Romero, Ariana CalderÃ³n, Maria Sanchez, Bianca Henninger"
6,eng England,3,"4,066","Rachel Daly, Jodie Taylor, Chioma Ubogagu"
7,nz New Zealand,3,"3,928","Abby Erceg, Katie Bowen, Rosie White"
8,jp Japan,3,"3,409","YÅ«ki Nagasato, Nahomi Kawasumi, Rumi Utsugi"
9,is Iceland,3,"3,363","Gunnhildur Yrsa JÃ³nsdÃ³ttir, DagnÃ½ BrynjarsdÃ³ttir, Allyson Paige Haran"
10,jm Jamaica,3,959,"Cheyna Matthews, Kayla McCoy, Alika Keene"
11,es Spain,2,"2,529","VerÃ³nica Boquete, Celia JimÃ©nez"
12,sco Scotland,2,"2,481","Rachel Corsie, Claire Emslie"
13,ie Ireland,1,"1,965",Denise O'Sullivan
14,cr Costa Rica,1,"1,915",Raquel RodrÃ­guez
15,dk Denmark,1,"1,721",Theresa Nielsen
16,cm Cameroon,1,"1,305",Estelle Johnson
17,ch Switzerland,1,760,Ana-Maria CrnogorÄeviÄ‡
18,ba Bosnia and Herzegovina,1,450,DiDi Haracic
19,wal Wales,1,413,Jess Fishlock
20,se Sweden,1,292,Julia Spetsmark
